"characteristic"	"level"	"Overall"	"0"	"1"	"p"	"test"	"SMD"
"1"	"**n**"	""	"**72404**"	"**18707**"	"**53697**"	""	""	""
"2"	"Complete status of treatment (binary) (%)"	"Treatment completion"	"19278 (26.6)"	"6404 (34.2)"	"12874 (24.0)"	"<0.001"	""	"0.228"
"3"	"Complete status of treatment (binary) (%)"	"Treatment non-completion"	"53117 (73.4)"	"12303 (65.8)"	"40814 (76.0)"	""	""	""
"4"	"Complete status of treatment (binary) (%)"	"[Missing]"	"9 (0.0)"	"0 (0.0)"	"9 (0.0)"	""	""	""
"5"	"Age (admission to treatment) (median [IQR])"	""	"34.04 [27.38, 42.84]"	"41.40 [32.14, 50.94]"	"32.27 [26.47, 39.76]"	"<0.001"	"nonnorm"	"0.736"
"6"	"Sex (%)"	"Men"	"55062 (76.0)"	"13914 (74.4)"	"41148 (76.6)"	"<0.001"	""	"0.052"
"7"	"Sex (%)"	"Women"	"17342 (24.0)"	"4793 (25.6)"	"12549 (23.4)"	""	""	""
"8"	"Age of Onset of Substance Use (median [IQR])"	""	"15.00 [14.00, 18.00]"	"17.00 [14.00, 20.00]"	"15.00 [13.00, 17.00]"	"<0.001"	"nonnorm"	"0.419"
"9"	"Educational Attainment (%)"	"1-More than high school"	"11489 (15.9)"	"2495 (13.3)"	"8994 (16.7)"	"<0.001"	""	"0.236"
"10"	"Educational Attainment (%)"	"2-Completed high school or less"	"39904 (55.1)"	"9289 (49.7)"	"30615 (57.0)"	""	""	""
"11"	"Educational Attainment (%)"	"3-Completed primary school or less"	"20685 (28.6)"	"6797 (36.3)"	"13888 (25.9)"	""	""	""
"12"	"Educational Attainment (%)"	"[Missing]"	"326 (0.5)"	"126 (0.7)"	"200 (0.4)"	""	""	""
"13"	"Primary Substance (admission to treatment) (%)"	"Alcohol"	"24244 (33.5)"	"11695 (62.5)"	"12549 (23.4)"	"<0.001"	""	"0.877"
"14"	"Primary Substance (admission to treatment) (%)"	"Cocaine hydrochloride"	"13505 (18.7)"	"1906 (10.2)"	"11599 (21.6)"	""	""	""
"15"	"Primary Substance (admission to treatment) (%)"	"Cocaine paste"	"28563 (39.4)"	"3922 (21.0)"	"24641 (45.9)"	""	""	""
"16"	"Primary Substance (admission to treatment) (%)"	"Marijuana"	"4835 (6.7)"	"784 (4.2)"	"4051 (7.5)"	""	""	""
"17"	"Primary Substance (admission to treatment) (%)"	"Other"	"1256 (1.7)"	"399 (2.1)"	"857 (1.6)"	""	""	""
"18"	"Primary Substance (admission to treatment) (%)"	"[Missing]"	"1 (0.0)"	"1 (0.0)"	"0 (0.0)"	""	""	""
"19"	"Frequency of Substance Use (Primary Substance) (%)"	"1. Less than 1 day a week"	"3554 (4.9)"	"1276 (6.8)"	"2278 (4.2)"	"<0.001"	""	"0.189"
"20"	"Frequency of Substance Use (Primary Substance) (%)"	"2. 1 day a week or more"	"4852 (6.7)"	"1621 (8.7)"	"3231 (6.0)"	""	""	""
"21"	"Frequency of Substance Use (Primary Substance) (%)"	"3. 2 to 3 days a week"	"20417 (28.2)"	"5578 (29.8)"	"14839 (27.6)"	""	""	""
"22"	"Frequency of Substance Use (Primary Substance) (%)"	"4. 4 to 6 days a week"	"11855 (16.4)"	"2969 (15.9)"	"8886 (16.5)"	""	""	""
"23"	"Frequency of Substance Use (Primary Substance) (%)"	"5. Daily"	"31363 (43.3)"	"7145 (38.2)"	"24218 (45.1)"	""	""	""
"24"	"Frequency of Substance Use (Primary Substance) (%)"	"[Missing]"	"363 (0.5)"	"118 (0.6)"	"245 (0.5)"	""	""	""
"25"	"Corrected Occupational Status (%)"	"Employed"	"35924 (49.6)"	"10709 (57.2)"	"25215 (47.0)"	"<0.001"	""	"0.275"
"26"	"Corrected Occupational Status (%)"	"Inactive"	"11760 (16.2)"	"3350 (17.9)"	"8410 (15.7)"	""	""	""
"27"	"Corrected Occupational Status (%)"	"Unemployed"	"24719 (34.1)"	"4647 (24.8)"	"20072 (37.4)"	""	""	""
"28"	"Corrected Occupational Status (%)"	"[Missing]"	"1 (0.0)"	"1 (0.0)"	"0 (0.0)"	""	""	""
"29"	"Number of Children (dichotomized) (%)"	"0"	"16802 (23.2)"	"3356 (17.9)"	"13446 (25.0)"	"<0.001"	""	"0.174"
"30"	"Number of Children (dichotomized) (%)"	"1"	"54984 (75.9)"	"15188 (81.2)"	"39796 (74.1)"	""	""	""
"31"	"Number of Children (dichotomized) (%)"	"[Missing]"	"618 (0.9)"	"163 (0.9)"	"455 (0.8)"	""	""	""
"32"	"tenencia_de_la_vivienda_mod (%)"	"Illegal Settlement"	"763 (1.1)"	"167 (0.9)"	"596 (1.1)"	"<0.001"	""	"0.269"
"33"	"tenencia_de_la_vivienda_mod (%)"	"Others"	"2041 (2.8)"	"522 (2.8)"	"1519 (2.8)"	""	""	""
"34"	"tenencia_de_la_vivienda_mod (%)"	"Owner/Transferred dwellings/Pays Dividends"	"25339 (35.0)"	"8171 (43.7)"	"17168 (32.0)"	""	""	""
"35"	"tenencia_de_la_vivienda_mod (%)"	"Renting"	"12354 (17.1)"	"3145 (16.8)"	"9209 (17.1)"	""	""	""
"36"	"tenencia_de_la_vivienda_mod (%)"	"Stays temporarily with a relative"	"27759 (38.3)"	"5637 (30.1)"	"22122 (41.2)"	""	""	""
"37"	"tenencia_de_la_vivienda_mod (%)"	"[Missing]"	"4148 (5.7)"	"1065 (5.7)"	"3083 (5.7)"	""	""	""
"38"	"Macro Administrative Zone in Chile (%)"	"Center"	"54864 (75.8)"	"13988 (74.8)"	"40876 (76.1)"	"<0.001"	""	"0.292"
