"setting"	"model"	"QIC"	"RR (95% IC)"	"p.value"
"1"	"basic ambulatory"	"No time-varying coefficients, no weight"	"19,453.6"	"1.03 (1.00, 1.05)"	"0.0689"
"2"	"basic ambulatory"	"No time-varying coefficients, no weight, NB"	"19,838.6"	"1.03 (1.00, 1.05)"	"0.0698"
"3"	"basic ambulatory"	"No time-varying coefficients, lag=0"	"19,465.1"	"1.02 (0.99, 1.05)"	"0.1648"
"4"	"basic ambulatory"	"No time-varying coefficients, lag=0, NB"	"19,465.1"	"1.02 (0.99, 1.05)"	"0.1648"
"5"	"basic ambulatory"	"No time-varying coefficients, lag=1"	"19,458.8"	"1.02 (1.00, 1.05)"	"0.0779"
"6"	"basic ambulatory"	"No time-varying coefficients, lag=1, NB"	"19,458.8"	"1.02 (1.00, 1.05)"	"0.0779"
"7"	"basic ambulatory"	"With time-varying coefficients, no weight"	"19,453.6"	"1.03 (1.00, 1.05)"	"0.0689"
"8"	"basic ambulatory"	"With time-varying coefficients, no weight, NB"	"19,453.6"	"1.03 (1.00, 1.05)"	"0.0689"
"9"	"basic ambulatory"	"With time-varying coefficients, lag=0"	"19,479.4"	"1.03 (0.99, 1.06)"	"0.1328"
"10"	"basic ambulatory"	"With time-varying coefficients, lag=0, NB"	"19,479.4"	"1.03 (0.99, 1.06)"	"0.1328"
"11"	"basic ambulatory"	"With time-varying coefficients, lag=1"	"19,519.4"	"1.03 (0.98, 1.07)"	"0.2275"
"12"	"basic ambulatory"	"With time-varying coefficients, lag=1, NB"	"19,519.4"	"1.03 (0.98, 1.07)"	"0.2275"
"13"	"basic ambulatory"	"Stratified by follow-up intervals, no weight"	"19,453.6"	"1.03 (1.00, 1.05)"	"0.0689"
"14"	"basic ambulatory"	"Stratified by follow-up intervals, no weight, NB"	"19,453.6"	"1.03 (1.00, 1.05)"	"0.0689"
"15"	"basic ambulatory"	"Stratified by follow-up intervals, lag=0"	"19,476.8"	"1.02 (0.99, 1.06)"	"0.2682"
"16"	"basic ambulatory"	"Stratified by follow-up intervals, lag=0, NB"	"19,476.8"	"1.02 (0.99, 1.06)"	"0.2682"
"17"	"basic ambulatory"	"Stratified by follow-up intervals, lag=1"	"19,467.2"	"1.04 (1.01, 1.07)"	"0.0202"
"18"	"basic ambulatory"	"Stratified by follow-up intervals, lag=1, NB"	"19,467.2"	"1.04 (1.01, 1.07)"	"0.0202"
"19"	"basic ambulatory"	"Stratified by follow-up intervals, 2nd, lag=1"	"19,505.4"	"1.03 (0.99, 1.07)"	"0.1745"
"20"	"basic ambulatory"	"Stratified by follow-up intervals, 2nd, lag=1, NB"	"19,505.4"	"1.03 (0.99, 1.07)"	"0.1745"
"21"	"GP intensive ambulatory"	"No time-varying coefficients, no weight"	"22,261.9"	"1.04 (1.01, 1.07)"	"0.0082"
"22"	"GP intensive ambulatory"	"No time-varying coefficients, no weight, NB"	"22,686.8"	"1.04 (1.01, 1.07)"	"0.008"
"23"	"GP intensive ambulatory"	"No time-varying coefficients, lag=0"	"22,275.9"	"1.04 (1.01, 1.08)"	"0.01"
"24"	"GP intensive ambulatory"	"No time-varying coefficients, lag=0, NB"	"22,276.0"	"1.04 (1.01, 1.08)"	"0.01"
"25"	"GP intensive ambulatory"	"No time-varying coefficients, lag=1"	"22,271.9"	"1.04 (1.01, 1.07)"	"0.0113"
"26"	"GP intensive ambulatory"	"No time-varying coefficients, lag=1, NB"	"22,271.9"	"1.04 (1.01, 1.07)"	"0.0113"
"27"	"GP intensive ambulatory"	"With time-varying coefficients, no weight"	"22,261.9"	"1.04 (1.01, 1.07)"	"0.0082"
"28"	"GP intensive ambulatory"	"With time-varying coefficients, no weight, NB"	"22,261.9"	"1.04 (1.01, 1.07)"	"0.0082"
"29"	"GP intensive ambulatory"	"With time-varying coefficients, lag=0"	"22,284.4"	"1.06 (1.02, 1.09)"	"0.0032"
"30"	"GP intensive ambulatory"	"With time-varying coefficients, lag=0, NB"	"22,284.4"	"1.06 (1.02, 1.09)"	"0.0032"
"31"	"GP intensive ambulatory"	"With time-varying coefficients, lag=1"	"22,324.6"	"1.05 (1.00, 1.10)"	"0.0443"
"32"	"GP intensive ambulatory"	"With time-varying coefficients, lag=1, NB"	"22,324.6"	"1.05 (1.00, 1.10)"	"0.0443"
"33"	"GP intensive ambulatory"	"Stratified by follow-up intervals, no weight"	"22,261.9"	"1.04 (1.01, 1.07)"	"0.0082"
"34"	"GP intensive ambulatory"	"Stratified by follow-up intervals, no weight, NB"	"22,261.9"	"1.04 (1.01, 1.07)"	"0.0082"
