"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest"	"(Intercept)"	"0.00"	"13.04"	"0.0009"	"0.00"	"0.00"
"2"	"simplest"	"policonsumo2"	"1.06"	"0.04"	"0.1095"	"0.99"	"1.14"
"3"	"simplest"	"edad_al_ing_1"	"0.99"	"0.01"	"0.3115"	"0.98"	"1.01"
"4"	"simplest"	"ano_nac_corr"	"1.02"	"0.01"	"0.0005"	"1.01"	"1.04"
"5"	"simplest"	"susinidum_oh"	"0.93"	"0.10"	"0.4398"	"0.77"	"1.12"
"6"	"simplest"	"susinidum_coc"	"0.99"	"0.12"	"0.8986"	"0.78"	"1.24"
"7"	"simplest"	"susinidum_pbc"	"1.16"	"0.11"	"0.1804"	"0.93"	"1.43"
"8"	"simplest"	"susinidum_mar"	"1.05"	"0.10"	"0.6273"	"0.87"	"1.27"
"9"	"simplest"	"psycom_dum_study"	"2.37"	"0.05"	"0.0000"	"2.17"	"2.59"
"10"	"simplest"	"psycom_dum_with"	"1.06"	"0.03"	"0.0619"	"1.00"	"1.13"
"11"	"simplest"	"freq_cons_dum_5day"	"0.97"	"0.03"	"0.3317"	"0.91"	"1.03"
"12"	"simplest"	"cond_oc_dum_2inact"	"0.77"	"0.04"	"0.0000"	"0.71"	"0.84"
"13"	"simplest"	"cond_oc_dum_3unemp"	"0.82"	"0.03"	"0.0000"	"0.77"	"0.88"
"14"	"simplest"	"susprindum_coc"	"1.03"	"0.05"	"0.5381"	"0.94"	"1.13"
"15"	"simplest"	"susprindum_pbc"	"1.27"	"0.04"	"0.0000"	"1.17"	"1.37"
"16"	"simplest"	"susprindum_mar"	"1.06"	"0.07"	"0.3977"	"0.92"	"1.23"
"17"	"full"	"(Intercept)"	"0.00"	"13.10"	"0.0042"	"0.00"	"0.00"
"18"	"full"	"policonsumo2"	"1.10"	"0.04"	"0.0080"	"1.03"	"1.18"
"19"	"full"	"comp_bpsc_y2_moderate"	"1.10"	"0.06"	"0.1129"	"0.98"	"1.23"
"20"	"full"	"comp_bpsc_y3_severe"	"0.92"	"0.06"	"0.1737"	"0.82"	"1.04"
"21"	"full"	"edad_al_ing_1"	"0.99"	"0.01"	"0.1006"	"0.98"	"1.00"
"22"	"full"	"ano_nac_corr"	"1.02"	"0.01"	"0.0030"	"1.01"	"1.03"
"23"	"full"	"esc_dum_rec_3prim"	"1.60"	"0.05"	"0.0000"	"1.45"	"1.76"
"24"	"full"	"esc_dum_rec_2high"	"1.32"	"0.04"	"0.0000"	"1.21"	"1.44"
"25"	"full"	"susprindum_oh"	"1.35"	"0.11"	"0.0092"	"1.08"	"1.68"
"26"	"full"	"susprindum_coc"	"1.40"	"0.12"	"0.0035"	"1.12"	"1.76"
"27"	"full"	"susprindum_pbc"	"1.65"	"0.11"	"0.0000"	"1.33"	"2.06"
"28"	"full"	"susprindum_mar"	"1.38"	"0.13"	"0.0129"	"1.07"	"1.77"
"29"	"full"	"freq_cons_dum_5day"	"1.04"	"0.08"	"0.6135"	"0.89"	"1.22"
"30"	"full"	"freq_cons_dum_44to6wk"	"1.07"	"0.08"	"0.4029"	"0.91"	"1.26"
"31"	"full"	"freq_cons_dum_32to3wk"	"1.02"	"0.08"	"0.7674"	"0.87"	"1.20"
"32"	"full"	"freq_cons_dum_21wkmore"	"1.00"	"0.10"	"0.9804"	"0.83"	"1.22"
"33"	"full"	"cond_oc_dum_3unemp"	"0.86"	"0.04"	"0.0000"	"0.80"	"0.92"
"34"	"full"	"cond_oc_dum_2inact"	"0.77"	"0.04"	"0.0000"	"0.71"	"0.84"
"35"	"full"	"viv_dum_illegal"	"0.81"	"0.15"	"0.1446"	"0.60"	"1.08"
"36"	"full"	"viv_dum_own"	"0.96"	"0.09"	"0.6408"	"0.80"	"1.14"
"37"	"full"	"viv_dum_rent"	"0.99"	"0.09"	"0.8969"	"0.82"	"1.19"
"38"	"full"	"viv_dum_temp"	"1.00"	"0.09"	"0.9981"	"0.84"	"1.19"
"39"	"full"	"psycom_dum_with"	"1.09"	"0.03"	"0.0080"	"1.02"	"1.16"
"40"	"full"	"psycom_dum_study"	"2.39"	"0.05"	"0.0000"	"2.18"	"2.62"
"41"	"full"	"susinidum_oh"	"0.90"	"0.10"	"0.3140"	"0.74"	"1.10"
"42"	"full"	"susinidum_coc"	"0.97"	"0.12"	"0.8063"	"0.76"	"1.23"
"43"	"full"	"susinidum_pbc"	"1.11"	"0.11"	"0.3460"	"0.89"	"1.39"
"44"	"full"	"susinidum_mar"	"1.03"	"0.10"	"0.7762"	"0.84"	"1.26"
"45"	"full"	"cohab_dum_alone"	"1.00"	"0.07"	"0.9471"	"0.86"	"1.15"
"46"	"full"	"cohab_dum_fam_or"	"0.96"	"0.06"	"0.4613"	"0.86"	"1.07"
"47"	"full"	"cohab_dum_cpl_child"	"1.05"	"0.06"	"0.3877"	"0.94"	"1.18"
