"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"0.00"	"14.55"	"0.0761"	"0.00"	"15.04"
"2"	"simplest, binomial"	"policonsumo2"	"1.10"	"0.04"	"0.0238"	"1.01"	"1.19"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.98"	"0.01"	"0.0246"	"0.97"	"1.00"
"4"	"simplest, binomial"	"ano_nac_corr"	"1.01"	"0.01"	"0.0572"	"1.00"	"1.03"
"5"	"simplest, binomial"	"susinidum_oh"	"0.96"	"0.11"	"0.7084"	"0.78"	"1.18"
"6"	"simplest, binomial"	"susinidum_coc"	"1.03"	"0.13"	"0.8156"	"0.80"	"1.34"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.19"	"0.12"	"0.1465"	"0.94"	"1.52"
"8"	"simplest, binomial"	"susinidum_mar"	"1.10"	"0.11"	"0.3973"	"0.89"	"1.36"
"9"	"simplest, binomial"	"psycom_dum_study"	"1.86"	"0.05"	"0.0000"	"1.68"	"2.06"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.02"	"0.04"	"0.5353"	"0.95"	"1.10"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.02"	"0.03"	"0.6007"	"0.95"	"1.09"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.82"	"0.05"	"0.0000"	"0.75"	"0.90"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.86"	"0.04"	"0.0002"	"0.80"	"0.93"
"14"	"simplest, binomial"	"susprindum_coc"	"1.03"	"0.05"	"0.6081"	"0.92"	"1.14"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.23"	"0.05"	"0.0000"	"1.12"	"1.35"
"16"	"simplest, binomial"	"susprindum_mar"	"1.02"	"0.08"	"0.8208"	"0.87"	"1.20"
"17"	"full, binomial"	"(Intercept)"	"0.00"	"14.59"	"0.1819"	"0.00"	"9143.08"
"18"	"full, binomial"	"policonsumo2"	"1.13"	"0.04"	"0.0032"	"1.04"	"1.22"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.19"	"0.07"	"0.0119"	"1.04"	"1.35"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"1.03"	"0.07"	"0.6985"	"0.90"	"1.18"
"21"	"full, binomial"	"edad_al_ing_1"	"0.98"	"0.01"	"0.0041"	"0.96"	"0.99"
"22"	"full, binomial"	"ano_nac_corr"	"1.01"	"0.01"	"0.1557"	"1.00"	"1.02"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.63"	"0.06"	"0.0000"	"1.46"	"1.81"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.33"	"0.05"	"0.0000"	"1.20"	"1.46"
"25"	"full, binomial"	"susprindum_oh"	"1.32"	"0.12"	"0.0262"	"1.03"	"1.68"
"26"	"full, binomial"	"susprindum_coc"	"1.37"	"0.13"	"0.0121"	"1.07"	"1.76"
"27"	"full, binomial"	"susprindum_pbc"	"1.56"	"0.12"	"0.0003"	"1.23"	"1.99"
"28"	"full, binomial"	"susprindum_mar"	"1.30"	"0.14"	"0.0663"	"0.98"	"1.71"
"29"	"full, binomial"	"freq_cons_dum_5day"	"1.01"	"0.09"	"0.8775"	"0.85"	"1.21"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"1.03"	"0.09"	"0.7551"	"0.86"	"1.24"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"0.94"	"0.09"	"0.5041"	"0.79"	"1.12"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.95"	"0.11"	"0.6559"	"0.76"	"1.18"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.88"	"0.04"	"0.0023"	"0.82"	"0.96"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.81"	"0.05"	"0.0000"	"0.73"	"0.89"
"35"	"full, binomial"	"viv_dum_illegal"	"0.82"	"0.17"	"0.2347"	"0.59"	"1.14"
"36"	"full, binomial"	"viv_dum_own"	"1.03"	"0.10"	"0.8000"	"0.84"	"1.25"
