"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"0.18"	"17.47"	"0.9220"	"0.00"	"133597795033500.81"
"2"	"simplest, binomial"	"policonsumo2"	"1.10"	"0.05"	"0.0457"	"1.00"	"1.21"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.97"	"0.01"	"0.0010"	"0.95"	"0.99"
"4"	"simplest, binomial"	"ano_nac_corr"	"1.00"	"0.01"	"0.8406"	"0.98"	"1.02"
"5"	"simplest, binomial"	"susinidum_oh"	"0.99"	"0.13"	"0.9106"	"0.77"	"1.26"
"6"	"simplest, binomial"	"susinidum_coc"	"1.01"	"0.16"	"0.9575"	"0.74"	"1.38"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.23"	"0.14"	"0.1560"	"0.93"	"1.63"
"8"	"simplest, binomial"	"susinidum_mar"	"1.09"	"0.13"	"0.4950"	"0.85"	"1.41"
"9"	"simplest, binomial"	"psycom_dum_study"	"1.53"	"0.06"	"0.0000"	"1.36"	"1.73"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.03"	"0.04"	"0.5618"	"0.94"	"1.12"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.02"	"0.04"	"0.6168"	"0.94"	"1.11"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.83"	"0.06"	"0.0013"	"0.74"	"0.93"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.90"	"0.05"	"0.0234"	"0.82"	"0.99"
"14"	"simplest, binomial"	"susprindum_coc"	"1.09"	"0.06"	"0.1833"	"0.96"	"1.23"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.30"	"0.05"	"0.0000"	"1.17"	"1.45"
"16"	"simplest, binomial"	"susprindum_mar"	"1.07"	"0.10"	"0.4548"	"0.89"	"1.30"
"17"	"full, binomial"	"(Intercept)"	"343.22"	"17.53"	"0.7392"	"0.00"	"288617990629258048.00"
"18"	"full, binomial"	"policonsumo2"	"1.13"	"0.05"	"0.0135"	"1.02"	"1.24"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.20"	"0.08"	"0.0199"	"1.03"	"1.40"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"1.07"	"0.08"	"0.3844"	"0.91"	"1.26"
"21"	"full, binomial"	"edad_al_ing_1"	"0.97"	"0.01"	"0.0001"	"0.95"	"0.98"
"22"	"full, binomial"	"ano_nac_corr"	"1.00"	"0.01"	"0.7917"	"0.98"	"1.01"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.58"	"0.07"	"0.0000"	"1.38"	"1.79"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.34"	"0.06"	"0.0000"	"1.20"	"1.51"
"25"	"full, binomial"	"susprindum_oh"	"1.25"	"0.15"	"0.1435"	"0.93"	"1.67"
"26"	"full, binomial"	"susprindum_coc"	"1.38"	"0.15"	"0.0366"	"1.02"	"1.86"
"27"	"full, binomial"	"susprindum_pbc"	"1.56"	"0.15"	"0.0027"	"1.17"	"2.09"
"28"	"full, binomial"	"susprindum_mar"	"1.29"	"0.17"	"0.1284"	"0.93"	"1.80"
"29"	"full, binomial"	"freq_cons_dum_5day"	"0.96"	"0.10"	"0.7008"	"0.79"	"1.18"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"0.98"	"0.11"	"0.8705"	"0.79"	"1.22"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"0.88"	"0.10"	"0.2379"	"0.72"	"1.08"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.91"	"0.13"	"0.4541"	"0.71"	"1.17"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.91"	"0.05"	"0.0583"	"0.83"	"1.00"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.82"	"0.06"	"0.0006"	"0.73"	"0.92"
"35"	"full, binomial"	"viv_dum_illegal"	"0.82"	"0.20"	"0.3146"	"0.56"	"1.21"
"36"	"full, binomial"	"viv_dum_own"	"1.13"	"0.12"	"0.3008"	"0.90"	"1.42"
"37"	"full, binomial"	"viv_dum_rent"	"1.12"	"0.12"	"0.3576"	"0.88"	"1.42"
"38"	"full, binomial"	"viv_dum_temp"	"1.12"	"0.12"	"0.3396"	"0.89"	"1.41"
"39"	"full, binomial"	"psycom_dum_with"	"1.04"	"0.04"	"0.3226"	"0.96"	"1.14"
"40"	"full, binomial"	"psycom_dum_study"	"1.53"	"0.06"	"0.0000"	"1.36"	"1.73"
"41"	"full, binomial"	"susinidum_oh"	"0.97"	"0.13"	"0.8405"	"0.76"	"1.26"
"42"	"full, binomial"	"susinidum_coc"	"1.01"	"0.16"	"0.9519"	"0.73"	"1.39"
"43"	"full, binomial"	"susinidum_pbc"	"1.19"	"0.15"	"0.2313"	"0.89"	"1.59"
