"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"0.00"	"13.99"	"0.0177"	"0.00"	"0.00"
"2"	"simplest, binomial"	"policonsumo2"	"1.08"	"0.04"	"0.0548"	"1.00"	"1.16"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.99"	"0.01"	"0.0615"	"0.97"	"1.00"
"4"	"simplest, binomial"	"ano_nac_corr"	"1.02"	"0.01"	"0.0120"	"1.00"	"1.03"
"5"	"simplest, binomial"	"susinidum_oh"	"1.00"	"0.10"	"0.9825"	"0.81"	"1.22"
"6"	"simplest, binomial"	"susinidum_coc"	"1.10"	"0.13"	"0.4543"	"0.86"	"1.41"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.21"	"0.12"	"0.1078"	"0.96"	"1.53"
"8"	"simplest, binomial"	"susinidum_mar"	"1.12"	"0.11"	"0.2847"	"0.91"	"1.38"
"9"	"simplest, binomial"	"psycom_dum_study"	"1.74"	"0.05"	"0.0000"	"1.58"	"1.92"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.02"	"0.04"	"0.6010"	"0.95"	"1.09"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.01"	"0.03"	"0.7944"	"0.94"	"1.08"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.81"	"0.05"	"0.0000"	"0.74"	"0.89"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.85"	"0.04"	"0.0000"	"0.79"	"0.92"
"14"	"simplest, binomial"	"susprindum_coc"	"1.02"	"0.05"	"0.6486"	"0.92"	"1.13"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.24"	"0.04"	"0.0000"	"1.13"	"1.35"
"16"	"simplest, binomial"	"susprindum_mar"	"1.05"	"0.08"	"0.5180"	"0.90"	"1.23"
"17"	"full, binomial"	"(Intercept)"	"0.00"	"14.05"	"0.0512"	"0.00"	"1.15"
"18"	"full, binomial"	"policonsumo2"	"1.11"	"0.04"	"0.0063"	"1.03"	"1.20"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.18"	"0.06"	"0.0104"	"1.04"	"1.34"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"1.01"	"0.07"	"0.9286"	"0.88"	"1.15"
"21"	"full, binomial"	"edad_al_ing_1"	"0.98"	"0.01"	"0.0140"	"0.97"	"1.00"
"22"	"full, binomial"	"ano_nac_corr"	"1.01"	"0.01"	"0.0407"	"1.00"	"1.03"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.58"	"0.05"	"0.0000"	"1.42"	"1.76"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.31"	"0.05"	"0.0000"	"1.19"	"1.44"
"25"	"full, binomial"	"susprindum_oh"	"1.37"	"0.12"	"0.0095"	"1.08"	"1.75"
"26"	"full, binomial"	"susprindum_coc"	"1.42"	"0.12"	"0.0051"	"1.11"	"1.81"
"27"	"full, binomial"	"susprindum_pbc"	"1.63"	"0.12"	"0.0000"	"1.29"	"2.07"
"28"	"full, binomial"	"susprindum_mar"	"1.39"	"0.14"	"0.0174"	"1.06"	"1.82"
"29"	"full, binomial"	"freq_cons_dum_5day"	"1.00"	"0.09"	"0.9937"	"0.84"	"1.18"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"1.00"	"0.09"	"0.9739"	"0.83"	"1.19"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"0.94"	"0.09"	"0.4978"	"0.79"	"1.12"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.95"	"0.11"	"0.6608"	"0.77"	"1.18"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.88"	"0.04"	"0.0008"	"0.81"	"0.95"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.80"	"0.05"	"0.0000"	"0.73"	"0.88"
"35"	"full, binomial"	"viv_dum_illegal"	"0.78"	"0.16"	"0.1166"	"0.56"	"1.07"
"36"	"full, binomial"	"viv_dum_own"	"0.95"	"0.10"	"0.6197"	"0.79"	"1.15"
"37"	"full, binomial"	"viv_dum_rent"	"0.95"	"0.10"	"0.6036"	"0.78"	"1.15"
"38"	"full, binomial"	"viv_dum_temp"	"0.97"	"0.10"	"0.7599"	"0.81"	"1.17"
"39"	"full, binomial"	"psycom_dum_with"	"1.04"	"0.04"	"0.2582"	"0.97"	"1.12"
"40"	"full, binomial"	"psycom_dum_study"	"1.75"	"0.05"	"0.0000"	"1.59"	"1.93"
"41"	"full, binomial"	"susinidum_oh"	"0.97"	"0.11"	"0.8115"	"0.79"	"1.20"
"42"	"full, binomial"	"susinidum_coc"	"1.09"	"0.13"	"0.4950"	"0.84"	"1.42"
"43"	"full, binomial"	"susinidum_pbc"	"1.17"	"0.12"	"0.2108"	"0.92"	"1.48"
"44"	"full, binomial"	"susinidum_mar"	"1.10"	"0.11"	"0.3732"	"0.89"	"1.37"
"45"	"full, binomial"	"cohab_dum_alone"	"1.04"	"0.08"	"0.6064"	"0.89"	"1.22"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.96"	"0.06"	"0.5541"	"0.85"	"1.09"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"1.02"	"0.06"	"0.7160"	"0.90"	"1.16"
"48"	"simplest, poisson"	"(Intercept)"	"0.00"	"3.26"	"0.0150"	"0.00"	"0.21"
"49"	"simplest, poisson"	"policonsumo2"	"1.02"	"0.01"	"0.0215"	"1.00"	"1.04"
"50"	"simplest, poisson"	"edad_al_ing_1"	"1.00"	"0.00"	"0.0125"	"0.99"	"1.00"
"51"	"simplest, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.0160"	"1.00"	"1.01"
"52"	"simplest, poisson"	"susinidum_oh"	"1.00"	"0.03"	"0.9468"	"0.95"	"1.05"
"53"	"simplest, poisson"	"susinidum_coc"	"1.02"	"0.03"	"0.5004"	"0.96"	"1.09"
"54"	"simplest, poisson"	"susinidum_pbc"	"1.04"	"0.03"	"0.1450"	"0.99"	"1.10"
"55"	"simplest, poisson"	"susinidum_mar"	"1.02"	"0.03"	"0.3970"	"0.97"	"1.08"
"56"	"simplest, poisson"	"psycom_dum_study"	"1.12"	"0.01"	"0.0000"	"1.10"	"1.14"
"57"	"simplest, poisson"	"psycom_dum_with"	"1.00"	"0.01"	"0.6123"	"0.99"	"1.02"
"58"	"simplest, poisson"	"freq_cons_dum_5day"	"1.00"	"0.01"	"0.8170"	"0.99"	"1.02"
"59"	"simplest, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.01"	"0.0000"	"0.93"	"0.97"
"60"	"simplest, poisson"	"cond_oc_dum_3unemp"	"0.96"	"0.01"	"0.0000"	"0.94"	"0.98"
"61"	"simplest, poisson"	"susprindum_coc"	"1.02"	"0.01"	"0.2652"	"0.99"	"1.04"
"62"	"simplest, poisson"	"susprindum_pbc"	"1.06"	"0.01"	"0.0000"	"1.04"	"1.08"
"63"	"simplest, poisson"	"susprindum_mar"	"1.02"	"0.02"	"0.2867"	"0.98"	"1.06"
"64"	"full, poisson"	"(Intercept)"	"0.00"	"3.26"	"0.0409"	"0.00"	"0.76"
"65"	"full, poisson"	"policonsumo2"	"1.03"	"0.01"	"0.0029"	"1.01"	"1.05"
"66"	"full, poisson"	"comp_bpsc_y2_moderate"	"1.04"	"0.02"	"0.0149"	"1.01"	"1.08"
"67"	"full, poisson"	"comp_bpsc_y3_severe"	"1.00"	"0.02"	"0.7921"	"0.97"	"1.04"
"68"	"full, poisson"	"edad_al_ing_1"	"0.99"	"0.00"	"0.0025"	"0.99"	"1.00"
"69"	"full, poisson"	"ano_nac_corr"	"1.00"	"0.00"	"0.0497"	"1.00"	"1.01"
"70"	"full, poisson"	"esc_dum_rec_3prim"	"1.12"	"0.01"	"0.0000"	"1.09"	"1.15"
"71"	"full, poisson"	"esc_dum_rec_2high"	"1.08"	"0.01"	"0.0000"	"1.05"	"1.11"
"72"	"full, poisson"	"susprindum_oh"	"1.12"	"0.04"	"0.0127"	"1.02"	"1.22"
"73"	"full, poisson"	"susprindum_coc"	"1.14"	"0.04"	"0.0046"	"1.04"	"1.24"
"74"	"full, poisson"	"susprindum_pbc"	"1.17"	"0.04"	"0.0003"	"1.07"	"1.28"
"75"	"full, poisson"	"susprindum_mar"	"1.13"	"0.05"	"0.0096"	"1.03"	"1.24"
"76"	"full, poisson"	"freq_cons_dum_5day"	"1.00"	"0.02"	"0.9889"	"0.96"	"1.04"
"77"	"full, poisson"	"freq_cons_dum_44to6wk"	"1.00"	"0.02"	"0.9760"	"0.96"	"1.04"
"78"	"full, poisson"	"freq_cons_dum_32to3wk"	"0.99"	"0.02"	"0.5009"	"0.95"	"1.03"
"79"	"full, poisson"	"freq_cons_dum_21wkmore"	"0.99"	"0.02"	"0.7276"	"0.94"	"1.04"
"80"	"full, poisson"	"cond_oc_dum_3unemp"	"0.97"	"0.01"	"0.0002"	"0.95"	"0.98"
"81"	"full, poisson"	"cond_oc_dum_2inact"	"0.95"	"0.01"	"0.0000"	"0.92"	"0.97"
"82"	"full, poisson"	"viv_dum_illegal"	"0.94"	"0.04"	"0.1394"	"0.87"	"1.02"
"83"	"full, poisson"	"viv_dum_own"	"0.99"	"0.02"	"0.5510"	"0.95"	"1.03"
"84"	"full, poisson"	"viv_dum_rent"	"0.99"	"0.02"	"0.5759"	"0.94"	"1.03"
"85"	"full, poisson"	"viv_dum_temp"	"0.99"	"0.02"	"0.6931"	"0.95"	"1.03"
"86"	"full, poisson"	"psycom_dum_with"	"1.01"	"0.01"	"0.3265"	"0.99"	"1.03"
"87"	"full, poisson"	"psycom_dum_study"	"1.12"	"0.01"	"0.0000"	"1.10"	"1.14"
"88"	"full, poisson"	"susinidum_oh"	"0.99"	"0.03"	"0.7753"	"0.94"	"1.05"
"89"	"full, poisson"	"susinidum_coc"	"1.02"	"0.03"	"0.5677"	"0.96"	"1.09"
"90"	"full, poisson"	"susinidum_pbc"	"1.03"	"0.03"	"0.2642"	"0.98"	"1.09"
"91"	"full, poisson"	"susinidum_mar"	"1.02"	"0.03"	"0.4988"	"0.97"	"1.08"
"92"	"full, poisson"	"cohab_dum_alone"	"1.01"	"0.02"	"0.6261"	"0.97"	"1.05"
"93"	"full, poisson"	"cohab_dum_fam_or"	"0.99"	"0.01"	"0.5228"	"0.96"	"1.02"
"94"	"full, poisson"	"cohab_dum_cpl_child"	"1.01"	"0.02"	"0.6598"	"0.98"	"1.04"
