"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"0.00"	"14.35"	"0.0000"	"0.00"	"0.00"
"2"	"simplest, binomial"	"policonsumo2"	"1.04"	"0.04"	"0.2923"	"0.97"	"1.12"
"3"	"simplest, binomial"	"edad_al_ing_1"	"1.01"	"0.01"	"0.1851"	"1.00"	"1.02"
"4"	"simplest, binomial"	"ano_nac_corr"	"1.04"	"0.01"	"0.0000"	"1.02"	"1.05"
"5"	"simplest, binomial"	"susinidum_oh"	"0.88"	"0.10"	"0.2002"	"0.72"	"1.07"
"6"	"simplest, binomial"	"susinidum_coc"	"0.90"	"0.13"	"0.3998"	"0.70"	"1.15"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.15"	"0.12"	"0.2393"	"0.91"	"1.44"
"8"	"simplest, binomial"	"susinidum_mar"	"0.99"	"0.10"	"0.9496"	"0.81"	"1.22"
"9"	"simplest, binomial"	"psycom_dum_study"	"3.06"	"0.05"	"0.0000"	"2.77"	"3.37"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.09"	"0.03"	"0.0163"	"1.02"	"1.16"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"0.95"	"0.03"	"0.1025"	"0.89"	"1.01"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.75"	"0.05"	"0.0000"	"0.69"	"0.82"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.80"	"0.04"	"0.0000"	"0.74"	"0.86"
"14"	"simplest, binomial"	"susprindum_coc"	"1.05"	"0.05"	"0.3558"	"0.95"	"1.16"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.29"	"0.04"	"0.0000"	"1.19"	"1.41"
"16"	"simplest, binomial"	"susprindum_mar"	"1.08"	"0.08"	"0.3339"	"0.92"	"1.26"
"17"	"full, binomial"	"(Intercept)"	"0.00"	"14.38"	"0.0000"	"0.00"	"0.00"
"18"	"full, binomial"	"policonsumo2"	"1.09"	"0.04"	"0.0321"	"1.01"	"1.17"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.02"	"0.06"	"0.7333"	"0.90"	"1.16"
