"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"0.00"	"15.72"	"0.1538"	"0.00"	"4410.09"
"2"	"simplest, binomial"	"policonsumo2"	"1.10"	"0.04"	"0.0363"	"1.01"	"1.20"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.98"	"0.01"	"0.0215"	"0.97"	"1.00"
"4"	"simplest, binomial"	"ano_nac_corr"	"1.01"	"0.01"	"0.1219"	"1.00"	"1.03"
"5"	"simplest, binomial"	"susinidum_oh"	"1.02"	"0.12"	"0.8958"	"0.81"	"1.28"
"6"	"simplest, binomial"	"susinidum_coc"	"1.08"	"0.14"	"0.5938"	"0.81"	"1.43"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.23"	"0.13"	"0.1233"	"0.95"	"1.60"
"8"	"simplest, binomial"	"susinidum_mar"	"1.13"	"0.12"	"0.3212"	"0.89"	"1.43"
"9"	"simplest, binomial"	"psycom_dum_study"	"1.58"	"0.05"	"0.0000"	"1.43"	"1.76"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.00"	"0.04"	"0.9790"	"0.93"	"1.08"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.01"	"0.04"	"0.8734"	"0.94"	"1.08"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.82"	"0.05"	"0.0002"	"0.74"	"0.91"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.86"	"0.04"	"0.0004"	"0.80"	"0.94"
"14"	"simplest, binomial"	"susprindum_coc"	"1.04"	"0.06"	"0.4717"	"0.93"	"1.17"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.24"	"0.05"	"0.0000"	"1.13"	"1.37"
"16"	"simplest, binomial"	"susprindum_mar"	"1.06"	"0.09"	"0.5069"	"0.89"	"1.26"
"17"	"full, binomial"	"(Intercept)"	"0.00"	"15.80"	"0.3219"	"0.00"	"4479713.05"
"18"	"full, binomial"	"policonsumo2"	"1.13"	"0.04"	"0.0067"	"1.03"	"1.23"
