"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"0.18"	"17.47"	"0.9220"	"0.00"	"133597795033500.81"
"2"	"simplest, binomial"	"policonsumo2"	"1.10"	"0.05"	"0.0457"	"1.00"	"1.21"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.97"	"0.01"	"0.0010"	"0.95"	"0.99"
"4"	"simplest, binomial"	"ano_nac_corr"	"1.00"	"0.01"	"0.8406"	"0.98"	"1.02"
"5"	"simplest, binomial"	"susinidum_oh"	"0.99"	"0.13"	"0.9106"	"0.77"	"1.26"
"6"	"simplest, binomial"	"susinidum_coc"	"1.01"	"0.16"	"0.9575"	"0.74"	"1.38"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.23"	"0.14"	"0.1560"	"0.93"	"1.63"
"8"	"simplest, binomial"	"susinidum_mar"	"1.09"	"0.13"	"0.4950"	"0.85"	"1.41"
"9"	"simplest, binomial"	"psycom_dum_study"	"1.53"	"0.06"	"0.0000"	"1.36"	"1.73"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.03"	"0.04"	"0.5618"	"0.94"	"1.12"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.02"	"0.04"	"0.6168"	"0.94"	"1.11"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.83"	"0.06"	"0.0013"	"0.74"	"0.93"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.90"	"0.05"	"0.0234"	"0.82"	"0.99"
"14"	"simplest, binomial"	"susprindum_coc"	"1.09"	"0.06"	"0.1833"	"0.96"	"1.23"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.30"	"0.05"	"0.0000"	"1.17"	"1.45"
"16"	"simplest, binomial"	"susprindum_mar"	"1.07"	"0.10"	"0.4548"	"0.89"	"1.30"
"17"	"full, binomial"	"(Intercept)"	"0.00"	"13.89"	"0.0107"	"0.00"	"0.00"
"18"	"full, binomial"	"policonsumo2"	"1.06"	"0.04"	"0.1576"	"0.98"	"1.14"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.13"	"0.06"	"0.0549"	"1.00"	"1.28"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"0.99"	"0.07"	"0.8323"	"0.86"	"1.12"
"21"	"full, binomial"	"edad_al_ing_1"	"0.99"	"0.01"	"0.1035"	"0.97"	"1.00"
"22"	"full, binomial"	"ano_nac_corr"	"1.02"	"0.01"	"0.0080"	"1.00"	"1.03"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.57"	"0.05"	"0.0000"	"1.42"	"1.74"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.29"	"0.05"	"0.0000"	"1.17"	"1.41"
"25"	"full, binomial"	"susprindum_oh"	"1.32"	"0.12"	"0.0192"	"1.05"	"1.67"
"26"	"full, binomial"	"susprindum_coc"	"1.36"	"0.12"	"0.0122"	"1.07"	"1.72"
"27"	"full, binomial"	"susprindum_pbc"	"1.59"	"0.12"	"0.0001"	"1.26"	"2.00"
"28"	"full, binomial"	"susprindum_mar"	"1.34"	"0.13"	"0.0267"	"1.03"	"1.75"
"29"	"full, binomial"	"freq_cons_dum_5day"	"0.99"	"0.08"	"0.9421"	"0.84"	"1.17"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"1.05"	"0.09"	"0.5611"	"0.88"	"1.25"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"1.00"	"0.09"	"0.9952"	"0.85"	"1.18"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.97"	"0.10"	"0.7482"	"0.79"	"1.18"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.88"	"0.04"	"0.0005"	"0.82"	"0.94"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.79"	"0.05"	"0.0000"	"0.72"	"0.87"
"35"	"full, binomial"	"viv_dum_illegal"	"0.65"	"0.17"	"0.0084"	"0.47"	"0.89"
"36"	"full, binomial"	"viv_dum_own"	"0.88"	"0.09"	"0.1779"	"0.74"	"1.06"
"37"	"full, binomial"	"viv_dum_rent"	"0.90"	"0.10"	"0.2578"	"0.74"	"1.08"
"38"	"full, binomial"	"viv_dum_temp"	"0.92"	"0.09"	"0.3414"	"0.76"	"1.10"
"39"	"full, binomial"	"psycom_dum_with"	"1.07"	"0.03"	"0.0603"	"1.00"	"1.14"
"40"	"full, binomial"	"psycom_dum_study"	"1.77"	"0.05"	"0.0000"	"1.60"	"1.95"
"41"	"full, binomial"	"susinidum_oh"	"0.95"	"0.11"	"0.6012"	"0.77"	"1.17"
"42"	"full, binomial"	"susinidum_coc"	"1.03"	"0.13"	"0.8438"	"0.80"	"1.32"
"43"	"full, binomial"	"susinidum_pbc"	"1.10"	"0.12"	"0.4255"	"0.87"	"1.40"
