"item"	"group1"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"X11"	"1"	"i0"	1	65684	1,31	0,69	1	1,16	0	1	2,82	1,82	1,74	1,02	0
"X12"	"2"	"i0b"	1	65684	1	0	1	1	0	1	1	0	NA	NA	0
"X13"	"3"	"i0c"	1	20059	2,55	1,37	3,76	2,6	0	1	3,76	2,76	-0,25	-1,94	0,01
"X14"	"4"	"i0d"	1	20059	1	0	1	1	0	1	1	0	NA	NA	0
"X15"	"5"	"i1"	1	65684	1,31	0,69	1	1,15	0	1	2,97	1,97	1,77	1,17	0
"X16"	"6"	"i1b"	1	65684	0,36	0,16	0,3	0,31	0	0,3	1,01	0,71	2,8	6,68	0
"X17"	"7"	"i1c"	1	20059	2,57	1,4	3,49	2,58	0,91	1	4,1	3,1	-0,2	-1,89	0,01
"X18"	"8"	"i1d"	1	20059	0,58	0,23	0,4	0,55	0	0,4	1,02	0,62	0,82	-0,9	0
"X19"	"9"	"i2"	1	65684	2,3	56,73	0,76	0,98	0	0,76	13574,11	13573,35	213,49	50141,61	0,22
"X110"	"10"	"i3"	1	65684	1,25	0,66	0,93	1,09	0	0,93	2,99	2,06	1,77	1,2	0
"X111"	"11"	"i3b"	1	65684	0,35	0,16	0,29	0,31	0	0,29	1,01	0,72	2,81	6,73	0
"X112"	"12"	"i4"	1	90075	1,34	0,73	1	1,16	0	0,97	8,52	7,55	1,92	2,35	0
"X113"	"13"	"i4b"	1	90075	0,9	0,22	1	0,96	0	0,21	1,07	0,85	-1,98	2,4	0
"X114"	"14"	"i4c"	1	30988	2,01	1,11	1,94	1,93	1,56	0,88	11,8	10,92	0,34	-0,91	0,01
"X115"	"15"	"i4d"	1	30988	0,39	0,2	0,25	0,36	0,04	0,23	1,05	0,83	1,07	0,23	0
"X116"	"16"	"i5"	1	90075	1,24	0,54	1	1,11	0	0,7	3,28	2,58	2,01	2,69	0
"X117"	"17"	"i5b"	1	90075	0,89	0,23	1	0,95	0	0,19	1	0,81	-1,88	1,95	0
