"item"	"group1"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"iiw1"	"1"	"i0"	1	90075	1,84640762522762	1,98026037508224	1	1,37311921273464	0	1	6,47938528405761	5,47938528405761	1,91213642573462	1,65628409882437	0,006598119273092
"iiw2"	"2"	"i0b"	1	90075	0,89860020184144	0,237235578165702	1	0,955300245729475	0	0,343568577035197	1	0,656431422964803	-1,91213642573462	1,65628409882438	0,000790455972485
"iiw3"	"3"	"i0c"	1	30988	1,49880087374569	0,552627511583427	1	1,48462519176651	0	1	2,11104380934672	1,11104380934672	0,205270998347244	-1,95792699750688	0,003139321020676
"iiw4"	"4"	"i0d"	1	30988	0,788999629599257	0,078446467215899	0,759835464537072	0,76627743840295	0	0,759835464537072	1	0,240164535462928	2,3178907073357	3,37272617402735	0,000445632253854
"iiw5"	"5"	"i1"	1	90075	0,91190834389589	0,187202177967622	1	0,958787734817807	0	0,390384291212668	1	0,609615708787332	-1,8254046671405	1,68341806261439	0,000623747419256
"iiw6"	"6"	"i1b"	1	90075	0,854292626998976	0,313347607517797	1	0,9333339791794	0	0,023298850880454	1	0,976701149119546	-1,8044064033699	1,46916054554722	0,001044057091863
"iiw7"	"7"	"i1c"	1	30988	2,65991749812867	1,59779129374138	3,04556872182798	2,58972535506547	2,38984313142197	1	5,10416915497227	4,10416915497227	0,125493726521204	-1,71594424205916	0,009076601671029
"iiw8"	"8"	"i1d"	1	30988	0,484574363801564	0,211345107268963	0,391735587800723	0,454140527213061	0,122145710656373	0,309349434653297	1,04727517093711	0,737925736283809	0,889829853663324	-0,475951391995584	0,001200591942962
"iiw9"	"9"	"i2"	1	90075	1,7202764454724	1,62271082856415	1	1,31041770707192	0	1	44,9188615918825	43,9188615918825	2,6481312611861	13,3027888782505	0,0054067837378
"iiw10"	"10"	"i3"	1	90075	1,58602176658831	1,27529658514461	1	1,2569180694944	0	0,755446671778733	5,88029418377308	5,12484751199435	1,91503189072657	2,05737212417748	0,004249218478152
"iiw11"	"11"	"i3b"	1	90075	0,905333300218073	0,217296327372943	1	0,966894497557012	0	0,163456513880195	1	0,836543486119805	-2,21896356405822	3,570829488762	0,000724019479283
"iiw12"	"12"	"i4"	1	90075	1,7202764454724	1,62271082856415	1	1,31041770707192	0	1	44,9188615918825	43,9188615918825	2,6481312611861	13,3027888782505	0,0054067837378
"iiw13"	"13"	"i4b"	1	90075	0,853592055651411	0,314632797123419	1	0,932622343383334	0	0,008674572467704	1,02306263593326	1,01438806346556	-1,79951826541534	1,44850572248186	0,001048339273345
"iiw14"	"14"	"i4c"	1	30988	4,90868723023204	289,90314553258	0,856579941463999	0,778314349966766	0,984471676210293	0,192562892893722	49523,9114447753	49523,7188818824	162,255513032281	27512,6578355378	1,64685800046898
"iiw15"	"15"	"i4d"	1	30988	1,51532603860829	104,072916379427	0,210391928686645	0,251730187723643	0,118138574967354	0,130708551533431	18136,2824657509	18136,1517571994	170,93292321914	29750,5713178188	0,591208883424609
"iiw16"	"16"	"i5"	1	90075	1,58602176658831	1,27529658514461	1	1,2569180694944	0	0,755446671778733	5,88029418377308	5,12484751199435	1,91503189072657	2,05737212417748	0,004249218478152
"iiw17"	"17"	"i5b"	1	90075	0,905333300218073	0,217296327372943	1	0,966894497557012	0	0,163456513880195	1	0,836543486119805	-2,21896356405822	3,570829488762	0,000724019479283
