"w"	"term"	"HR"	"lo_95ci"	"up_95ci"	"p.value"
"1"	"i0"	"tr_outcome.lag"	"0.15"	"0.15"	"0.16"	"<0.001"
"2"	"i0b"	"tr_outcome.lag"	"2.94"	"2.82"	"3.06"	"<0.001"
"3"	"i0c"	"tr_outcome.lag"	"0.47"	"0.47"	"0.48"	"<0.001"
"4"	"i0d"	"tr_outcome.lag"	"1.32"	"1.28"	"1.35"	"<0.001"
"5"	"i1"	"tr_outcome.lag"	"1.20"	"1.15"	"1.24"	"<0.001"
"6"	"i1"	"comp_bpsc_y2_moderate.lag"	"1.17"	"1.10"	"1.25"	"<0.001"
"7"	"i1"	"comp_bpsc_y3_severe.lag"	"1.69"	"1.59"	"1.80"	"<0.001"
"8"	"i1"	"less_90d_tr1.lag"	"1.04"	"1.00"	"1.08"	"0.034"
"9"	"i1"	"policonsumo2.lag"	"1.22"	"1.17"	"1.27"	"<0.001"
"10"	"i1b"	"tr_outcome.lag"	"1.23"	"1.18"	"1.28"	"<0.001"
"11"	"i1b"	"comp_bpsc_y2_moderate.lag"	"1.01"	"0.95"	"1.08"	"0.795"
"12"	"i1b"	"comp_bpsc_y3_severe.lag"	"4.24"	"3.99"	"4.51"	"<0.001"
"13"	"i1b"	"less_90d_tr1.lag"	"3.58"	"3.49"	"3.66"	"<0.001"
"14"	"i1b"	"policonsumo2.lag"	"2.30"	"2.21"	"2.40"	"<0.001"
"15"	"i1c"	"tr_outcome.lag"	"0.74"	"0.72"	"0.75"	"<0.001"
"16"	"i1c"	"comp_bpsc_y2_moderate.lag"	"0.41"	"0.40"	"0.43"	"<0.001"
"17"	"i1c"	"comp_bpsc_y3_severe.lag"	"0.45"	"0.43"	"0.47"	"<0.001"
"18"	"i1c"	"less_90d_tr1.lag"	"0.89"	"0.86"	"0.92"	"<0.001"
"19"	"i1c"	"policonsumo2.lag"	"0.73"	"0.71"	"0.75"	"<0.001"
"20"	"i1d"	"tr_outcome.lag"	"1.10"	"1.07"	"1.13"	"<0.001"
"21"	"i1d"	"comp_bpsc_y2_moderate.lag"	"0.96"	"0.92"	"1.00"	"0.065"
"22"	"i1d"	"comp_bpsc_y3_severe.lag"	"1.50"	"1.43"	"1.56"	"<0.001"
"23"	"i1d"	"less_90d_tr1.lag"	"1.57"	"1.53"	"1.60"	"<0.001"
"24"	"i1d"	"policonsumo2.lag"	"1.27"	"1.23"	"1.30"	"<0.001"
"25"	"i2"	"tr_outcome.lag"	"0.81"	"0.78"	"0.84"	"<0.001"
"26"	"i2"	"comp_bpsc_y2_moderate.lag"	"0.45"	"0.43"	"0.48"	"<0.001"
