="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_1_gom",="22287",=".",="-53129.79",="21",="106301.6",="106469.8"
="m2_1_rp5",="22287",=".",="-53158.24",="25",="106366.5",="106566.8"
="m2_1_rp6",="22287",=".",="-53155.8",="26",="106363.6",="106571.9"
="m2_1_rp7",="22287",=".",="-53153.03",="27",="106360.1",="106576.4"
="m2_1_rp8",="22287",=".",="-53151.15",="28",="106358.3",="106582.6"
="m2_1_rp9",="22287",=".",="-53146.34",="29",="106350.7",="106583"
="m2_1_rp10",="22287",=".",="-53141.88",="30",="106343.8",="106584.1"
="m2_1_rp4",="22287",=".",="-53172.51",="24",="106393",="106585.3"
="m2_1_rp3",="22287",=".",="-53177.97",="23",="106401.9",="106586.2"
="m2_1_rp2",="22287",=".",="-53207.5",="21",="106457",="106625.2"
="m2_1_wei",="22287",=".",="-53645.69",="20",="107331.4",="107491.6"
="m2_1_rp1",="22287",=".",="-53645.7",="21",="107333.4",="107501.6"
="m2_1_cox6",="22287",=".",="-53670.28",="26",="107392.6",="107600.9"
="m2_1_cox3",="22287",=".",="-53685.67",="23",="107417.3",="107601.6"
="m2_1_cox5",="22287",=".",="-53676.55",="25",="107403.1",="107603.4"
="m2_1_cox4",="22287",=".",="-53681.68",="24",="107411.4",="107603.6"
="m2_1_cox7",="22287",=".",="-53669.84",="27",="107393.7",="107610"
="m2_1_cox2",="22287",=".",="-53715.07",="22",="107474.1",="107650.4"
="m2_1_cox1",="22287",=".",="-53738.09",="21",="107518.2",="107686.4"
="m2_1_logl",="22287",=".",="-54459.35",="21",="108960.7",="109128.9"
="m2_1_logn",="22287",=".",="-54570.87",="9",="109159.7",="109231.8"
="m2_1_ggam",="22287",=".",="-54643.96",="3",="109293.9",="109318"
