="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_1_rp2",="5144",=".",="-17999.03",="20",="36038.05",="36168.96"
="m2_1_gom",="5144",=".",="-18004.17",="19",="36046.33",="36170.7"
="m2_1_rp3",="5144",=".",="-17996.23",="21",="36034.46",="36171.92"
="m2_1_rp4",="5144",=".",="-17996.8",="22",="36037.61",="36181.61"
="m2_1_rp5",="5144",=".",="-17992.79",="23",="36031.58",="36182.13"
="m2_1_rp6",="5144",=".",="-17991.79",="24",="36031.58",="36188.67"
="m2_1_rp7",="5144",=".",="-17990.99",="25",="36031.99",="36195.63"
="m2_1_rp8",="5144",=".",="-17990.63",="26",="36033.27",="36203.45"
="m2_1_rp9",="5144",=".",="-17989.29",="27",="36032.58",="36209.31"
="m2_1_rp10",="5144",=".",="-17988.64",="28",="36033.28",="36216.55"
="m2_1_ggam",="5144",=".",="-18066.52",="12",="36157.04",="36235.59"
="m2_1_logn",="5144",=".",="-18086.66",="19",="36211.32",="36335.69"
="m2_1_cox2",="5144",=".",="-18083.02",="20",="36206.03",="36336.95"
="m2_1_cox3",="5144",=".",="-18079.68",="21",="36201.35",="36338.81"
="m2_1_wei",="5144",=".",="-18093.22",="18",="36222.43",="36340.25"
="m2_1_rp1",="5144",=".",="-18093.22",="18",="36222.43",="36340.26"
="m2_1_cox4",="5144",=".",="-18079.35",="22",="36202.71",="36346.71"
="m2_1_cox5",="5144",=".",="-18079.49",="23",="36204.97",="36355.52"
="m2_1_cox6",="5144",=".",="-18078.04",="24",="36204.08",="36361.18"
="m2_1_cox7",="5144",=".",="-18078.06",="25",="36206.12",="36369.76"
="m2_1_cox1",="5144",=".",="-18111.29",="19",="36260.58",="36384.94"
="m2_1_logl",="5144",=".",="-18131.23",="19",="36300.46",="36424.83"
