="",="stats_2",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_stipw_nostag_rp5_tvcdf4",="3433",=".",="-16678.36",="11",="33378.72",="33446.27"
="m_stipw_nostag_rp6_tvcdf4",="3433",=".",="-16678.04",="12",="33380.09",="33453.78"
="m_stipw_nostag_rp5_tvcdf1",="3433",=".",="-16682.13",="8",="33380.27",="33429.4"
="m_stipw_nostag_rp5_tvcdf5",="3433",=".",="-16678.25",="12",="33380.49",="33454.19"
="m_stipw_nostag_rp6_tvcdf6",="3433",=".",="-16676.32",="14",="33380.64",="33466.62"
="m_stipw_nostag_rp6_tvcdf1",="3433",=".",="-16681.4",="9",="33380.8",="33436.07"
="m_stipw_nostag_rp5_tvcdf6",="3433",=".",="-16677.43",="13",="33380.86",="33460.7"
="m_stipw_nostag_rp7_tvcdf4",="3433",=".",="-16677.56",="13",="33381.12",="33460.96"
="m_stipw_nostag_rp5_tvcdf2",="3433",=".",="-16681.77",="9",="33381.54",="33436.81"
="m_stipw_nostag_rp7_tvcdf5",="3433",=".",="-16676.77",="14",="33381.54",="33467.51"
="m_stipw_nostag_rp7_tvcdf1",="3433",=".",="-16680.8",="10",="33381.6",="33443.01"
="m_stipw_nostag_rp6_tvcdf5",="3433",=".",="-16677.94",="13",="33381.88",="33461.72"
="m_stipw_nostag_rp5_tvcdf7",="3433",=".",="-16676.97",="14",="33381.94",="33467.92"
="m_stipw_nostag_rp6_tvcdf2",="3433",=".",="-16681.05",="10",="33382.1",="33443.51"
="m_stipw_nostag_rp7_tvcdf6",="3433",=".",="-16676.19",="15",="33382.39",="33474.5"
="m_stipw_nostag_rp8_tvcdf6",="3433",=".",="-16675.24",="16",="33382.48",="33480.74"
="m_stipw_nostag_rp8_tvcdf4",="3433",=".",="-16677.41",="14",="33382.83",="33468.8"
="m_stipw_nostag_rp8_tvcdf1",="3433",=".",="-16680.43",="11",="33382.86",="33450.41"
="m_stipw_nostag_rp9_tvcdf6",="3433",=".",="-16674.43",="17",="33382.86",="33487.26"
="m_stipw_nostag_rp7_tvcdf2",="3433",=".",="-16680.45",="11",="33382.9",="33450.45"
="m_stipw_nostag_rp8_tvcdf5",="3433",=".",="-16676.47",="15",="33382.94",="33475.06"
="m_stipw_nostag_rp6_tvcdf7",="3433",=".",="-16676.48",="15",="33382.95",="33475.07"
="m_stipw_nostag_rp5_tvcdf3",="3433",=".",="-16681.66",="10",="33383.33",="33444.74"
="m_stipw_nostag_rp7_tvcdf7",="3433",=".",="-16675.81",="16",="33383.63",="33481.88"
="m_stipw_nostag_rp6_tvcdf3",="3433",=".",="-16680.89",="11",="33383.78",="33451.34"
="m_stipw_nostag_rp9_tvcdf4",="3433",=".",="-16677.07",="15",="33384.15",="33476.27"
="m_stipw_nostag_rp8_tvcdf2",="3433",=".",="-16680.08",="12",="33384.15",="33457.85"
="m_stipw_nostag_rp9_tvcdf1",="3433",=".",="-16680.29",="12",="33384.57",="33458.27"
="m_stipw_nostag_rp7_tvcdf3",="3433",=".",="-16680.29",="12",="33384.57",="33458.27"
="m_stipw_nostag_rp4_tvcdf6",="3433",=".",="-16680.32",="12",="33384.63",="33458.33"
="m_stipw_nostag_rp4_tvcdf7",="3433",=".",="-16679.51",="13",="33385.02",="33464.86"
="m_stipw_nostag_rp9_tvcdf5",="3433",=".",="-16676.56",="16",="33385.13",="33483.39"
="m_stipw_nostag_rp4_tvcdf4",="3433",=".",="-16682.83",="10",="33385.67",="33447.08"
="m_stipw_nostag_rp10_tvcdf4",="3433",=".",="-16676.9",="16",="33385.8",="33484.06"
="m_stipw_nostag_rp4_tvcdf1",="3433",=".",="-16685.9",="7",="33385.81",="33428.8"
="m_stipw_nostag_rp8_tvcdf7",="3433",=".",="-16675.92",="17",="33385.83",="33490.23"
