="",="stats_3",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_stipw_nostag_rp6_tvcdf1",="22287",=".",="-59456.53",="9",="118931.1",="119003.2"
="m2_stipw_nostag_rp7_tvcdf1",="22287",=".",="-59455.71",="10",="118931.4",="119011.5"
="m2_stipw_nostag_rp6_tvcdf2",="22287",=".",="-59455.91",="10",="118931.8",="119011.9"
="m2_stipw_nostag_rp8_tvcdf1",="22287",=".",="-59455.03",="11",="118932.1",="119020.2"
="m2_stipw_nostag_rp7_tvcdf2",="22287",=".",="-59455.09",="11",="118932.2",="119020.3"
="m2_stipw_nostag_rp5_tvcdf1",="22287",=".",="-59458.15",="8",="118932.3",="118996.4"
="m2_stipw_nostag_rp8_tvcdf2",="22287",=".",="-59454.4",="12",="118932.8",="119028.9"
="m2_stipw_nostag_rp5_tvcdf2",="22287",=".",="-59457.54",="9",="118933.1",="119005.2"
="m2_stipw_nostag_rp9_tvcdf1",="22287",=".",="-59454.64",="12",="118933.3",="119029.4"
="m2_stipw_nostag_rp10_tvcdf1",="22287",=".",="-59453.76",="13",="118933.5",="119037.7"
="m2_stipw_nostag_rp6_tvcdf3",="22287",=".",="-59455.91",="11",="118933.8",="119021.9"
="m2_stipw_nostag_rp9_tvcdf2",="22287",=".",="-59454",="13",="118934",="119038.2"
="m2_stipw_nostag_rp7_tvcdf3",="22287",=".",="-59455.08",="12",="118934.2",="119030.3"
="m2_stipw_nostag_rp10_tvcdf2",="22287",=".",="-59453.12",="14",="118934.2",="119046.4"
="m2_stipw_nostag_rp8_tvcdf3",="22287",=".",="-59454.39",="13",="118934.8",="119038.9"
="m2_stipw_nostag_rp5_tvcdf3",="22287",=".",="-59457.54",="10",="118935.1",="119015.2"
="m2_stipw_nostag_rp4_tvcdf1",="22287",=".",="-59460.86",="7",="118935.7",="118991.8"
="m2_stipw_nostag_rp6_tvcdf4",="22287",=".",="-59455.88",="12",="118935.8",="119031.9"
="m2_stipw_nostag_rp9_tvcdf3",="22287",=".",="-59454",="14",="118936",="119048.2"
="m2_stipw_nostag_rp7_tvcdf4",="22287",=".",="-59455.06",="13",="118936.1",="119040.3"
="m2_stipw_nostag_rp10_tvcdf3",="22287",=".",="-59453.12",="15",="118936.2",="119056.4"
="m2_stipw_nostag_rp4_tvcdf2",="22287",=".",="-59460.27",="8",="118936.5",="119000.6"
="m2_stipw_nostag_rp5_tvcdf6",="22287",=".",="-59455.32",="13",="118936.6",="119040.8"
="m2_stipw_nostag_rp4_tvcdf6",="22287",=".",="-59456.34",="12",="118936.7",="119032.8"
="m2_stipw_nostag_rp3_tvcdf6",="22287",=".",="-59457.37",="11",="118936.7",="119024.9"
="m2_stipw_nostag_rp8_tvcdf4",="22287",=".",="-59454.38",="14",="118936.8",="119048.9"
="m2_stipw_nostag_rp5_tvcdf7",="22287",=".",="-59454.41",="14",="118936.8",="119049"
="m2_stipw_nostag_rp5_tvcdf4",="22287",=".",="-59457.48",="11",="118937",="119025.1"
="m2_stipw_nostag_rp6_tvcdf6",="22287",=".",="-59454.59",="14",="118937.2",="119049.3"
="m2_stipw_nostag_rp6_tvcdf5",="22287",=".",="-59455.7",="13",="118937.4",="119041.5"
="m2_stipw_nostag_rp4_tvcdf7",="22287",=".",="-59455.73",="13",="118937.5",="119041.6"
="m2_stipw_nostag_rp3_tvcdf7",="22287",=".",="-59456.83",="12",="118937.7",="119033.8"
="m2_stipw_nostag_rp7_tvcdf5",="22287",=".",="-59454.94",="14",="118937.9",="119050"
="m2_stipw_nostag_rp9_tvcdf4",="22287",=".",="-59453.99",="15",="118938",="119058.1"
="m2_stipw_nostag_rp7_tvcdf6",="22287",=".",="-59454",="15",="118938",="119058.2"
="m2_stipw_nostag_rp10_tvcdf4",="22287",=".",="-59453.1",="16",="118938.2",="119066.4"
="m2_stipw_nostag_rp3_tvcdf1",="22287",=".",="-59463.21",="6",="118938.4",="118986.5"
="m2_stipw_nostag_rp4_tvcdf3",="22287",=".",="-59460.22",="9",="118938.4",="119010.5"
="m2_stipw_nostag_rp8_tvcdf5",="22287",=".",="-59454.29",="15",="118938.6",="119058.7"
="m2_stipw_nostag_rp6_tvcdf7",="22287",=".",="-59454.31",="15",="118938.6",="119058.8"
="m2_stipw_nostag_rp5_tvcdf5",="22287",=".",="-59457.42",="12",="118938.8",="119035"
="m2_stipw_nostag_rp9_tvcdf6",="22287",=".",="-59452.53",="17",="118939.1",="119075.3"
="m2_stipw_nostag_rp8_tvcdf6",="22287",=".",="-59453.55",="16",="118939.1",="119067.3"
="m2_stipw_nostag_rp3_tvcdf2",="22287",=".",="-59462.66",="7",="118939.3",="118995.4"
="m2_stipw_nostag_rp10_tvcdf6",="22287",=".",="-59451.71",="18",="118939.4",="119083.6"
="m2_stipw_nostag_rp9_tvcdf5",="22287",=".",="-59453.88",="16",="118939.8",="119067.9"
="m2_stipw_nostag_rp7_tvcdf7",="22287",=".",="-59453.93",="16",="118939.9",="119068"
="m2_stipw_nostag_rp10_tvcdf5",="22287",=".",="-59452.99",="17",="118940",="119076.2"
="m2_stipw_nostag_rp4_tvcdf4",="22287",=".",="-59460.24",="10",="118940.5",="119020.6"
="m2_stipw_nostag_rp3_tvcdf5",="22287",=".",="-59460.24",="10",="118940.5",="119020.6"
="m2_stipw_nostag_rp4_tvcdf5",="22287",=".",="-59459.36",="11",="118940.7",="119028.8"
="m2_stipw_nostag_rp3_tvcdf3",="22287",=".",="-59462.63",="8",="118941.3",="119005.4"
="m2_stipw_nostag_rp8_tvcdf7",="22287",=".",="-59453.76",="17",="118941.5",="119077.7"
="m2_stipw_nostag_rp10_tvcdf7",="22287",=".",="-59451.93",="19",="118941.9",="119094.1"
="m2_stipw_nostag_rp3_tvcdf4",="22287",=".",="-59462.02",="9",="118942",="119014.1"
="m2_stipw_nostag_rp9_tvcdf7",="22287",=".",="-59453.1",="18",="118942.2",="119086.4"
="m2_stipw_nostag_rp2_tvcdf6",="22287",=".",="-59467.37",="10",="118954.7",="119034.9"
="m2_stipw_nostag_rp2_tvcdf7",="22287",=".",="-59466.82",="11",="118955.6",="119043.8"
="m2_stipw_nostag_rp2_tvcdf5",="22287",=".",="-59469.93",="9",="118957.9",="119030"
="m2_stipw_nostag_rp2_tvcdf4",="22287",=".",="-59471.41",="8",="118958.8",="119022.9"
="m2_stipw_nostag_rp2_tvcdf3",="22287",=".",="-59472.85",="7",="118959.7",="119015.8"
="m2_stipw_nostag_rp2_tvcdf1",="22287",=".",="-59483.55",="5",="118977.1",="119017.2"
="m2_stipw_nostag_rp2_tvcdf2",="22287",=".",="-59482.9",="6",="118977.8",="119025.9"
="m2_stipw_nostag_rp1_tvcdf6",="22287",=".",="-59570.01",="9",="119158",="119230.1"
="m2_stipw_nostag_rp1_tvcdf7",="22287",=".",="-59569.48",="10",="119159",="119239.1"
="m2_stipw_nostag_rp1_tvcdf5",="22287",=".",="-59572.67",="8",="119161.3",="119225.4"
="m2_stipw_nostag_rp1_tvcdf4",="22287",=".",="-59574.05",="7",="119162.1",="119218.2"
="m2_stipw_nostag_rp1_tvcdf3",="22287",=".",="-59575.26",="6",="119162.5",="119210.6"
="m2_stipw_nostag_rp1_tvcdf2",="22287",=".",="-59585.54",="5",="119181.1",="119221.1"
="m2_stipw_nostag_rp1_tvcdf1",="22287",=".",="-59732.16",="4",="119472.3",="119504.4"
