="",="stats_4",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m3_stipw_nostag_rp5_tvcdf3",="18462",=".",="-59178.56",="10",="118377.1",="118455.4"
="m3_stipw_nostag_rp7_tvcdf6",="18462",=".",="-59174.48",="15",="118379",="118496.3"
="m3_stipw_nostag_rp5_tvcdf4",="18462",=".",="-59178.62",="11",="118379.2",="118465.3"
="m3_stipw_nostag_rp7_tvcdf3",="18462",=".",="-59177.75",="12",="118379.5",="118473.4"
="m3_stipw_nostag_rp6_tvcdf6",="18462",=".",="-59175.99",="14",="118380",="118489.5"
="m3_stipw_nostag_rp8_tvcdf6",="18462",=".",="-59174.01",="16",="118380",="118505.2"
="m3_stipw_nostag_rp5_tvcdf1",="18462",=".",="-59182.05",="8",="118380.1",="118442.7"
="m3_stipw_nostag_rp9_tvcdf6",="18462",=".",="-59173.1",="17",="118380.2",="118513.2"
="m3_stipw_nostag_rp6_tvcdf3",="18462",=".",="-59179.11",="11",="118380.2",="118466.3"
="m3_stipw_nostag_rp5_tvcdf2",="18462",=".",="-59181.21",="9",="118380.4",="118450.8"
="m3_stipw_nostag_rp5_tvcdf5",="18462",=".",="-59178.24",="12",="118380.5",="118474.4"
="m3_stipw_nostag_rp5_tvcdf6",="18462",=".",="-59177.29",="13",="118380.6",="118482.3"
="m3_stipw_nostag_rp9_tvcdf3",="18462",=".",="-59176.32",="14",="118380.6",="118490.2"
="m3_stipw_nostag_rp8_tvcdf3",="18462",=".",="-59177.65",="13",="118381.3",="118483"
="m3_stipw_nostag_rp7_tvcdf4",="18462",=".",="-59177.83",="13",="118381.7",="118483.4"
="m3_stipw_nostag_rp10_tvcdf6",="18462",=".",="-59172.83",="18",="118381.7",="118522.5"
="m3_stipw_nostag_rp10_tvcdf3",="18462",=".",="-59175.87",="15",="118381.7",="118499.1"
="m3_stipw_nostag_rp6_tvcdf7",="18462",=".",="-59176.13",="15",="118382.3",="118499.6"
="m3_stipw_nostag_rp7_tvcdf7",="18462",=".",="-59175.14",="16",="118382.3",="118507.5"
="m3_stipw_nostag_rp6_tvcdf4",="18462",=".",="-59179.23",="12",="118382.5",="118476.3"
="m3_stipw_nostag_rp7_tvcdf1",="18462",=".",="-59181.28",="10",="118382.6",="118460.8"
="m3_stipw_nostag_rp5_tvcdf7",="18462",=".",="-59177.31",="14",="118382.6",="118492.2"
="m3_stipw_nostag_rp7_tvcdf5",="18462",=".",="-59177.37",="14",="118382.7",="118492.3"
="m3_stipw_nostag_rp9_tvcdf7",="18462",=".",="-59173.38",="18",="118382.8",="118523.6"
="m3_stipw_nostag_rp9_tvcdf4",="18462",=".",="-59176.39",="15",="118382.8",="118500.1"
="m3_stipw_nostag_rp7_tvcdf2",="18462",=".",="-59180.42",="11",="118382.8",="118468.9"
="m3_stipw_nostag_rp8_tvcdf7",="18462",=".",="-59174.45",="17",="118382.9",="118515.9"
="m3_stipw_nostag_rp6_tvcdf5",="18462",=".",="-59178.55",="13",="118383.1",="118484.8"
="m3_stipw_nostag_rp6_tvcdf1",="18462",=".",="-59182.65",="9",="118383.3",="118453.7"
="m3_stipw_nostag_rp8_tvcdf4",="18462",=".",="-59177.72",="14",="118383.4",="118493"
