="",="stats_127",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_24_2rp7_tvc_2",="5144",=".",="-21459.12",="453",="43824.24",="46789.4"
="m_24_2rp5_tvc_4",="5144",=".",="-21460.03",="455",="43830.05",="46808.29"
="m_24_2rp5_tvc_1",="5144",=".",="-21464.4",="453",="43834.81",="46799.96"
="m_24_2rp7_tvc_1",="5144",=".",="-21459.44",="459",="43836.88",="46841.3"
="m_24_2rp6_tvc_1",="5144",=".",="-21460.64",="458",="43837.28",="46835.16"
="m_24_2rp7_tvc_7",="5144",=".",="-21456.04",="463",="43838.08",="46868.69"
="m_24_2rp4_tvc_7",="5144",=".",="-21459.74",="460",="43839.48",="46850.45"
="m_24_2rp6_tvc_2",="5144",=".",="-21460.32",="460",="43840.63",="46851.6"
="m_24_2rp5_tvc_3",="5144",=".",="-21463.66",="457",="43841.33",="46832.66"
="m_24_2rp3_tvc_7",="5144",=".",="-21461.68",="459",="43841.36",="46845.78"
="m_24_2rp7_tvc_3",="5144",=".",="-21458.7",="463",="43843.41",="46874.01"
="m_24_2rp6_tvc_3",="5144",=".",="-21459.83",="462",="43843.66",="46867.72"
="m_24_2rp7_tvc_4",="5144",=".",="-21456.87",="465",="43843.74",="46887.43"
="m_24_2rp6_tvc_4",="5144",=".",="-21458.04",="464",="43844.07",="46881.23"
="m_24_2rp5_tvc_5",="5144",=".",="-21461.79",="461",="43845.57",="46863.09"
="m_24_2rp3_tvc_2",="5144",=".",="-21473.81",="449",="43845.62",="46784.59"
="m_24_2rp5_tvc_2",="5144",=".",="-21464.08",="459",="43846.15",="46850.57"
="m_24_2rp7_tvc_5",="5144",=".",="-21456.24",="467",="43846.48",="46903.27"
="m_24_2rp6_tvc_5",="5144",=".",="-21457.78",="466",="43847.56",="46897.8"
="m_24_2rp2_tvc_7",="5144",=".",="-21465.82",="458",="43847.63",="46845.51"
="m_24_2rp7_tvc_6",="5144",=".",="-21455.14",="469",="43848.29",="46918.17"
="m_24_2rp6_tvc_6",="5144",=".",="-21457.2",="468",="43850.4",="46913.74"
="m_24_2rp5_tvc_6",="5144",=".",="-21458.82",="467",="43851.64",="46908.43"
="m_24_2rp4_tvc_6",="5144",=".",="-21459.91",="466",="43851.82",="46902.06"
="m_24_2rp5_tvc_7",="5144",=".",="-21458.6",="468",="43853.2",="46916.54"
="m_24_2rp3_tvc_6",="5144",=".",="-21462.23",="465",="43854.46",="46898.16"
="m_24_2rp6_tvc_7",="5144",=".",="-21458.03",="470",="43856.05",="46932.48"
="m_24_2rp3_tvc_5",="5144",=".",="-21466.02",="463",="43858.03",="46888.64"
="m_24_2rp3_tvc_1",="5144",=".",="-21474.11",="455",="43858.21",="46836.46"
="m_24_2rp4_tvc_1",="5144",=".",="-21469.46",="460",="43858.92",="46869.89"
="m_24_2rp4_tvc_5",="5144",=".",="-21465.59",="464",="43859.18",="46896.33"
="m_24_2rp2_tvc_6",="5144",=".",="-21466.22",="464",="43860.43",="46897.58"
="m_24_2rp4_tvc_2",="5144",=".",="-21469.13",="462",="43862.25",="46886.31"
="m_24_2rp2_tvc_5",="5144",=".",="-21469.86",="462",="43863.71",="46887.77"
="m_24_2rp4_tvc_3",="5144",=".",="-21468.11",="464",="43864.22",="46901.37"
="m_24_2rp1_tvc_3",="5144",=".",="-21483.14",="449",="43864.28",="46803.25"
="m_24_2rp3_tvc_3",="5144",=".",="-21473.31",="459",="43864.62",="46869.04"
="m_24_2rp4_tvc_4",="5144",=".",="-21466.97",="466",="43865.94",="46916.18"
="m_24_2rp2_tvc_3",="5144",=".",="-21477.55",="458",="43871.11",="46868.98"
="m_24_2rp1_tvc_5",="5144",=".",="-21475.94",="460",="43871.88",="46882.85"
="m_24_2rp3_tvc_4",="5144",=".",="-21471.03",="465",="43872.06",="46915.76"
="m_24_2rp1_tvc_7",="5144",=".",="-21471.84",="465",="43873.68",="46917.38"
="m_24_2rp2_tvc_4",="5144",=".",="-21473.57",="464",="43875.15",="46912.3"
="m_24_2rp1_tvc_6",="5144",=".",="-21472.21",="470",="43884.41",="46960.84"
="m_24_2rp1_tvc_4",="5144",=".",="-21479.52",="463",="43885.04",="46915.64"
="m_24_2rp2_tvc_2",="5144",=".",="-21490.97",="455",="43891.93",="46870.17"
="m_24_2rp1_tvc_2",="5144",=".",="-21496.67",="454",="43901.33",="46873.03"
="m_24_2rp2_tvc_1",="5144",=".",="-21491.47",="460",="43902.94",="46913.91"
="m_24_2rp1_tvc_1",="5144",=".",="-21554.58",="460",="44029.17",="47040.13"
