="",="comb_intonly",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m1_rp5",="16475",=".",="-43576.79",="6",="87165.58",="87211.83"
="m1_rp4",="16475",=".",="-43625.83",="5",="87261.66",="87300.2"
="m1_rp3",="16475",=".",="-44069.11",="4",="88146.23",="88177.06"
="m1_rp2",="16475",=".",="-44510.22",="3",="89026.45",="89049.57"
="m1_gom",="16475",=".",="-48885.48",="2",="97774.97",="97790.39"
="m1_ggam",="16475",=".",="-49932.14",="3",="99870.28",="99893.41"
="m1_logn",="16475",=".",="-51313.06",="2",="102630.1",="102645.5"
="m1_logl",="16475",=".",="-52475.55",="2",="104955.1",="104970.5"
="m1_rp1",="16475",=".",="-53403.93",="2",="106811.9",="106827.3"
="m1_weib",="16475",=".",="-53403.93",="2",="106811.9",="106827.3"
="m1_exp",="16475",=".",="-54702.71",="1",="109407.4",="109415.1"
="m2_rp4",="14331",=".",="-48479.36",="5",="96968.72",="97006.57"
="m2_rp5",="14331",=".",="-48479.05",="6",="96970.11",="97015.53"
="m2_rp3",="14331",=".",="-48482.37",="4",="96972.75",="97003.03"
="m2_rp2",="14331",=".",="-48484.52",="3",="96975.04",="96997.76"
="m2_ggam",="14331",=".",="-48524.4",="3",="97054.79",="97077.5"
="m2_logn",="14331",=".",="-48699.3",="2",="97402.6",="97417.74"
="m2_logl",="14331",=".",="-49186.55",="2",="98377.1",="98392.24"
="m2_gom",="14331",=".",="-49410.86",="2",="98825.72",="98840.86"
="m2_rp1",="14331",=".",="-49573.17",="2",="99150.35",="99165.49"
="m2_weib",="14331",=".",="-49573.17",="2",="99150.35",="99165.49"
="m2_exp",="14331",=".",="-49581.9",="1",="99165.8",="99173.38"
="m3_gom",="2936",=".",="-11102.6",="2",="22209.2",="22221.17"
="m3_rp2",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_logl",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_rp4",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_rp3",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_rp5",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_rp1",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_logn",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_ggam",="2936",=".",="-11108.5",="2",="22221",="22232.97"
="m3_exp",="2936",=".",="-11238.67",="1",="22479.34",="22485.33"
="m3_weib",="2936",=".",="-11238.67",="1",="22479.34",="22485.33"
