="",="comb",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_1_rp5_tvc5",="16475",=".",="-43241.53",="12",="86507.07",="86599.58"
="m2_1_rp5_tvc2",="16475",=".",="-43257.77",="9",="86533.54",="86602.92"
="m2_1_rp5_tvc3",="16475",=".",="-43257.65",="10",="86535.31",="86612.4"
="m2_1_rp5_tvc4",="16475",=".",="-43257.69",="11",="86537.38",="86622.18"
="m2_1_rp5_tvc1",="16475",=".",="-43263.72",="8",="86543.44",="86605.11"
="m2_1_rp4_tvc5",="16475",=".",="-43283.91",="11",="86589.82",="86674.63"
="m2_1_rp4_tvc4",="16475",=".",="-43301.29",="10",="86622.59",="86699.69"
="m2_1_rp4_tvc2",="16475",=".",="-43304.61",="8",="86625.22",="86686.89"
="m2_1_rp4_tvc3",="16475",=".",="-43304.08",="9",="86626.16",="86695.55"
="m2_1_rp4_tvc1",="16475",=".",="-43311.12",="7",="86636.24",="86690.2"
="m2_1_rp3_tvc5",="16475",=".",="-43339.96",="10",="86699.93",="86777.02"
="m2_1_rp3_tvc4",="16475",=".",="-43380.66",="9",="86779.32",="86848.71"
="m2_1_rp2_tvc5",="16475",=".",="-43404.53",="9",="86827.07",="86896.45"
="m2_1_rp2_tvc4",="16475",=".",="-43445.94",="8",="86907.89",="86969.56"
="m2_1_rp3_tvc3",="16475",=".",="-43711.81",="8",="87439.61",="87501.29"
="m2_1_rp3_tvc2",="16475",=".",="-43728.91",="7",="87471.81",="87525.78"
="m2_1_rp3_tvc1",="16475",=".",="-43742.23",="6",="87496.46",="87542.71"
="m2_1_rp2_tvc3",="16475",=".",="-43757.58",="7",="87529.16",="87583.13"
="m2_1_rp2_tvc2",="16475",=".",="-44186.49",="6",="88384.98",="88431.24"
="m2_1_rp2_tvc1",="16475",=".",="-44201.16",="5",="88412.32",="88450.87"
="m2_1_rp1_tvc5",="16475",=".",="-46324.31",="8",="92664.63",="92726.31"
="m2_1_rp1_tvc4",="16475",=".",="-46366.59",="7",="92747.19",="92801.15"
="m2_1_rp1_tvc3",="16475",=".",="-46694.16",="6",="93400.32",="93446.58"
="m2_1_rp1_tvc2",="16475",=".",="-47107.14",="5",="94224.28",="94262.82"
="m2_1_gom",="16475",=".",="-48582.29",="3",="97170.58",="97193.7"
="m2_1_ggam",="16475",=".",="-49785.96",="4",="99579.91",="99610.75"
="m2_1_logn",="16475",=".",="-50998.29",="3",="102002.6",="102025.7"
="m2_1_logl",="16475",=".",="-52094.77",="3",="104195.5",="104218.7"
="m2_1_rp1_tvc1",="16475",=".",="-52980.63",="4",="105969.3",="106000.1"
="m2_1_weib",="16475",=".",="-53002.76",="3",="106011.5",="106034.6"
="m2_1_exp",="16475",=".",="-54227.57",="2",="108459.1",="108474.6"
="m2_2_rp3_tvc4",="14331",=".",="-48059.56",="9",="96137.13",="96205.26"
