="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m3_gom",="29967",=".",="-9872.789",="2",="19749.58",="19766.19"
="m3_rp2",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_rp3",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_rp5",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_ggam",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_logl",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_logn",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_rp4",="29967",=".",="-9877.994",="2",="19759.99",="19776.6"
="m3_exp",="29967",=".",="-9999.016",="1",="20000.03",="20008.34"
="m3_weib",="29967",=".",="-9999.016",="1",="20000.03",="20008.34"
="m1_rp5",="29967",=".",="-37833.04",="6",="75678.08",="75727.92"
="m1_rp4",="29967",=".",="-37881.43",="5",="75772.86",="75814.4"
="m1_rp3",="29967",=".",="-38266.71",="4",="76541.41",="76574.65"
="m1_rp2",="29967",=".",="-38720.29",="3",="77446.59",="77471.51"
="m1_gom",="29967",=".",="-42466.64",="2",="84937.27",="84953.89"
="m1_ggam",="29967",=".",="-43449.98",="3",="86905.96",="86930.89"
="m2_rp4",="29967",=".",="-43763.99",="5",="87537.98",="87579.52"
="m2_rp5",="29967",=".",="-43763.3",="6",="87538.59",="87588.44"
="m2_rp3",="29967",=".",="-43767.25",="4",="87542.51",="87575.74"
="m2_rp2",="29967",=".",="-43769.3",="3",="87544.59",="87569.51"
="m2_ggam",="29967",=".",="-43807.23",="3",="87620.46",="87645.39"
="m2_logn",="29967",=".",="-43952.19",="2",="87908.39",="87925"
="m2_logl",="29967",=".",="-44381.55",="2",="88767.09",="88783.71"
="m2_gom",="29967",=".",="-44572.78",="2",="89149.56",="89166.17"
="m1_logn",="29967",=".",="-44580.17",="2",="89164.34",="89180.96"
="m2_weib",="29967",=".",="-44743.07",="2",="89490.15",="89506.76"
="m2_exp",="29967",=".",="-44746.86",="1",="89495.72",="89504.03"
="m1_logl",="29967",=".",="-45580.43",="2",="91164.85",="91181.47"
="m1_weib",="29967",=".",="-46376.88",="2",="92757.77",="92774.38"
="m1_exp",="29967",=".",="-47498.79",="1",="94999.58",="95007.88"
